_id,title,text,query
"<dbpedia:Simpson,_Illinois>","Simpson, Illinois","Simpson is a village in Johnson County, Illinois, United States. The population was 54 at the 2000 census.",where is simpson illinois
"<dbpedia:Cypress,_Illinois>","Cypress, Illinois","Cypress is a village in Johnson County, Illinois, United States. The population was 271 at the 2000 census.","what county is cypress, il in?"
"<dbpedia:Belknap,_Illinois>","Belknap, Illinois","Belknap is a village in Johnson County, Illinois, United States. The population was 133 at the 2000 census.",what county is belknap il
"<dbpedia:New_Burnside,_Illinois>","New Burnside, Illinois","New Burnside is a village in Johnson County, Illinois, United States. The population was 242 at the 2000 census.In 1878, New Burnside peaked in population at 1,200 when the railroad ran through the middle of the town. The population decreased greatly when the railroad was replaced with a bike trail. The village was founded in 1872, and was a Cairo and Vincennes Railroad boom-town.","what county is new burnside, il"
"<dbpedia:Burlington,_Illinois>","Burlington, Illinois","Burlington is a village in Kane County, Illinois, United States. The population was 618 at the 2010 census, up from 452 at the 2000 census.","what county is burlington, il"
"<dbpedia:Buncombe,_Illinois>","Buncombe, Illinois","Buncombe is a village in Johnson County, Illinois, United States. The population was 186 at the 2000 census.",where is buncombe illinois
"<dbpedia:East_Dubuque,_Illinois>","East Dubuque, Illinois","East Dubuque is a city in Jo Daviess County, Illinois, United States. The population was 1,704 at the 2010 census, down from 1,995 in 2000. East Dubuque is located alongside the Mississippi River. Across the river is the city of Dubuque, Iowa. About three miles north of the city is the Illinois – Wisconsin border. East Dubuque was originally known as Dunleith.",where is dubuque il
"<dbpedia:Elizabeth,_Illinois>","Elizabeth, Illinois","Elizabeth is a village in Jo Daviess County, Illinois, United States. The population was 761 at the 2010 census.",what county is elizabeth illinois in
"<dbpedia:Mount_Vernon,_Illinois>","Mount Vernon, Illinois","Mount Vernon known as ""The King City"" is a city in and the county seat of Jefferson County, Illinois, United States.  The population was 15,277 at the 2010 census.Mount Vernon is the principal city of the Mount Vernon Micropolitan Statistical Area, which includes all of Jefferson and Hamilton counties.",what county is mount vernon il
"<dbpedia:Apple_River,_Illinois>","Apple River, Illinois","Apple River is a village in Jo Daviess County, Illinois, United States. The population was 366 at the 2010 census, down from 379 in 2000.",apple river illinois where is
